Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 v1.0B0003.1,Failure,4 June 2010,
2,CCAFS,Dragon,0,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 v1.0B0004.1,Failure,8 December 2010,
3,CCAFS,Dragon,525 kg,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 v1.0B0005.1,"Not attempted
",22 May 2012,
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 v1.0B0006.1,No attempt,8 October 2012,
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 v1.0B0007.1,"Not attempted
",1 March 2013,
6,VAFB,CASSIOPE,500 kg,Polar orbit,"<a href=""/wiki/Maxar_Technologies"" title=""Maxar Technologies"">MDA</a>",['<'],F9 v1.1B1003,Uncontrolled,29 September 2013,
7,CCAFS,SES-8,"3,170 kg",GTO,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",['<'],F9 v1.1,Not attempted,3 December 2013,
8,CCAFS,Thaicom 6,"3,325 kg",GTO,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>",['<'],F9 v1.1,Not attempted,6 January 2014,
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 v1.1,Controlled,18 April 2014,
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>",['<'],F9 v1.1,Controlled,14 July 2014,
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",['<'],F9 v1.1,Not attempted,5 August 2014,
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",['<'],F9 v1.1,"Not attempted
",7 September 2014,
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 v1.1,Uncontrolled,21 September 2014,
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 v1.1,Failure ,10 January 2015,
15,Cape Canaveral,DSCOVR,570 kg,HEO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>",['<'],F9 v1.1,Controlled,11 February 2015,
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a>",['<'],F9 v1.1,Not attempted,2 March 2015,
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 v1.1,Failure,14 April 2015,
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,"<a href=""/wiki/Turkmenistan_National_Space_Agency"" title=""Turkmenistan National Space Agency"">Turkmenistan National<br/>Space Agency</a>",['<'],F9 v1.1,Not attempted,27 April 2015,
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 v1.1,Precluded,28 June 2015,
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>",['<'],F9 FT,Success,22 December 2015,
21,VAFB,Jason-3,553 kg,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 v1.1,Failure,17 January 2016,
22,Cape Canaveral,SES-9,"5,271 kg",GTO,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",['<'],F9 FT,Failure,4 March 2016,
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 FT,Success,8 April 2016,
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,"<a href=""/wiki/SKY_Perfect_JSAT"" title=""SKY Perfect JSAT"">SKY Perfect JSAT Group</a>",['<'],F9 FT,Success,6 May 2016,
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>",['<'],F9 FT,Success,27 May 2016,
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a>",['<'],F9 FT,Failure,15 June 2016,
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 FT,Success,18 July 2016,
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SKY_Perfect_JSAT_Group"" title=""SKY Perfect JSAT Group"">SKY Perfect JSAT Group</a>",['<'],F9 FT,Success,14 August 2016,
29,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",['<'],F9 FT,Success,14 January 2017,
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 FT,Success,19 February 2017,
31,KSC,EchoStar 23,"5,600 kg",GTO,"<a href=""/wiki/EchoStar"" title=""EchoStar"">EchoStar</a>",['<'],F9 FT,Not attempted,16 March 2017,
32,KSC,SES-10,"5,300 kg",GTO,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",['<'],F9 FT♺,Success,30 March 2017,
33,KSC,NROL-76,C,LEO,"<a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>",['<'],F9 FT,Success,1 May 2017,
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,"<a href=""/wiki/Inmarsat"" title=""Inmarsat"">Inmarsat</a>",['<'],F9 FT,Not attempted,15 May 2017,
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 FT,Success,3 June 2017,
36,KSC,BulgariaSat-1,"3,669 kg",GTO,"<a href=""/wiki/Bulsatcom"" title=""Bulsatcom"">Bulsatcom</a>",['<'],F9 FTB1029.2,Success,23 June 2017,
37,VAFB,Iridium NEXT,"9,600 kg",LEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",['<'],F9 FT,Success,25 June 2017,
38,KSC,Intelsat 35e,"6,761 kg",GTO,"<a href=""/wiki/Intelsat"" title=""Intelsat"">Intelsat</a>",['<'],F9 FT,Not attempted,5 July 2017,
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 B4,Success,14 August 2017,
40,VAFB,Formosat-5,475 kg,SSO,"<a class=""mw-redirect"" href=""/wiki/National_Space_Organization"" title=""National Space Organization"">NSPO</a>",['<'],F9 FT,Success,24 August 2017,
41,KSC,Boeing X-37B,"4,990 kg",LEO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>",['<'],F9 B4,Success,7 September 2017,
42,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",['<'],F9 B4,Success,9 October 2017,
43,KSC,SES-11,"5,200 kg",GTO,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES S.A.</a>",['<'],F9 FTB1031.2,Success,11 October 2017,
44,KSC,Koreasat 5A,"3,500 kg",GTO,"<a href=""/wiki/KT_Corporation"" title=""KT Corporation"">KT Corporation</a>",['<'],F9 B4,Success,30 October 2017,
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 FTB1035.2,Success,15 December 2017,
46,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",['<'],F9 FTB1036.2,Controlled,23 December 2017,
47,CCAFS,Zuma,C,LEO,"<a href=""/wiki/Northrop_Grumman"" title=""Northrop Grumman"">Northrop Grumman</a>",['<'],F9 B4,Success,8 January 2018,
48,CCAFS,GovSat-1,"4,230 kg",GTO,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",['<'],F9 FTB1032.2,Controlled,31 January 2018,
49,VAFB,Paz,"2,150 kg",SSO,"<a href=""/wiki/Hisdesat"" title=""Hisdesat"">Hisdesat</a>",['<'],F9 FTB1038.2,Not attempted,22 February 2018,
50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,"<a href=""/wiki/Hispasat"" title=""Hispasat"">Hispasat</a>",['<'],F9 B4,No attempt,6 March 2018,
51,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",['<'],F9 B4B1041.2,No attempt,30 March 2018,
52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 B4B1039.2,Not attempted,2 April 2018,
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 B4,Success,18 April 2018,
54,KSC,Bangabandhu-1,"3,600 kg",GTO,"<a href=""/wiki/Thales_Alenia_Space"" title=""Thales Alenia Space"">Thales-Alenia</a>",['<'],F9 B5B1046.1,Success,11 May 2018,
55,VAFB,Iridium NEXT,"6,460 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",['<'],F9 B4B1043.2,Not attempted,22 May 2018,
